               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11932,            0.043518,            0.029988,           0.0031695,             0.32941,           0.0026355,          0.00055596,             0.10228,            0.042906,            0.028708,              0.0874,              0.0014,              0.0014
                   1,            0.095357,            0.053149,            0.028266,             0.12992,            0.059731,            0.072115,            0.016934,            0.077578,            0.048183,            0.027057,            0.073852,           0.0028522,           0.0028522
                   2,             0.07904,            0.051997,            0.026032,             0.20242,             0.32941,             0.20308,            0.060737,            0.068991,            0.057663,            0.024539,            0.060255,           0.0042548,           0.0042548
                   3,            0.072167,            0.050136,            0.024445,             0.23947,             0.25294,             0.18233,            0.070121,            0.068201,            0.063503,            0.022948,            0.046608,           0.0056079,           0.0056079
                   4,            0.071149,            0.046279,            0.024223,              0.2703,             0.30051,             0.20139,            0.069111,            0.081985,            0.036909,            0.021507,            0.032912,           0.0069116,           0.0069116
                   5,            0.073721,            0.043628,            0.023264,              0.3089,             0.51066,             0.33801,             0.13432,            0.057715,            0.036412,            0.020537,            0.019166,           0.0081658,           0.0081658
                   6,            0.067624,            0.039155,            0.022152,             0.33563,             0.45294,             0.38552,             0.14523,            0.065498,            0.030295,            0.018599,             0.00901,             0.00901,             0.00901
                   7,            0.067021,            0.036865,            0.021119,             0.36329,             0.60465,             0.40915,              0.1858,            0.056997,            0.029148,            0.016505,             0.00901,             0.00901,             0.00901
                   8,            0.062454,            0.034299,            0.019164,             0.35064,             0.62941,             0.37093,             0.12988,            0.068687,             0.03578,             0.01449,            0.008845,            0.008845,            0.008845
                   9,            0.061572,            0.033924,            0.017545,             0.49236,             0.62353,             0.51003,             0.20698,            0.065935,             0.02608,            0.011803,             0.00868,             0.00868,             0.00868
                  10,            0.056564,            0.032846,            0.015088,             0.57034,             0.56416,             0.65755,             0.28144,            0.068408,            0.027109,           0.0083515,            0.008515,            0.008515,            0.008515
                  11,            0.055228,            0.030977,            0.013105,             0.50316,             0.72144,             0.60999,             0.25389,            0.052444,             0.02894,           0.0075611,             0.00835,             0.00835,             0.00835
                  12,            0.052416,            0.031918,            0.010855,             0.81386,             0.89916,             0.90187,             0.44477,            0.042644,            0.024354,           0.0054619,            0.008185,            0.008185,            0.008185
                  13,            0.049176,            0.029855,           0.0087593,             0.56899,             0.82353,             0.68513,              0.3183,            0.051031,            0.024876,           0.0039668,             0.00802,             0.00802,             0.00802
                  14,            0.048644,            0.029332,           0.0078314,             0.59753,             0.91926,             0.74387,             0.36186,            0.043646,            0.023378,           0.0033881,            0.007855,            0.007855,            0.007855
                  15,            0.047564,            0.029594,           0.0070704,             0.77039,             0.82562,             0.87501,             0.48739,            0.041178,             0.02306,           0.0032173,             0.00769,             0.00769,             0.00769
                  16,            0.045991,            0.028605,           0.0068479,             0.94685,             0.98235,             0.97441,             0.52024,            0.038634,             0.02264,           0.0029555,            0.007525,            0.007525,            0.007525
                  17,            0.043763,            0.028871,           0.0055511,             0.82295,             0.84093,             0.91066,             0.51522,            0.040857,            0.022121,           0.0026605,             0.00736,             0.00736,             0.00736
                  18,            0.042413,            0.028069,           0.0053425,             0.88801,             0.97647,             0.97095,              0.5012,            0.039725,             0.02195,           0.0024283,            0.007195,            0.007195,            0.007195
                  19,            0.040988,            0.028194,           0.0054331,              0.9538,             0.96786,             0.97981,             0.50511,            0.039032,            0.021587,           0.0025485,             0.00703,             0.00703,             0.00703
                  20,            0.040493,            0.026427,           0.0052187,             0.95752,             0.97059,             0.98788,             0.59028,            0.033428,            0.020863,           0.0025969,            0.006865,            0.006865,            0.006865
                  21,            0.039612,            0.026544,           0.0048541,             0.75715,             0.91765,             0.88619,             0.53286,            0.038599,            0.021434,           0.0020546,              0.0067,              0.0067,              0.0067
                  22,            0.038073,            0.025759,           0.0048446,             0.98434,             0.99194,             0.99065,             0.58254,             0.03323,            0.020765,           0.0021724,            0.006535,            0.006535,            0.006535
                  23,             0.03701,             0.02609,           0.0038906,             0.98133,             0.99508,             0.99209,              0.6258,            0.031238,            0.020144,           0.0019168,             0.00637,             0.00637,             0.00637
                  24,            0.035586,            0.025028,           0.0039386,             0.86757,             0.97647,             0.95731,             0.56121,            0.033868,            0.020234,           0.0019589,            0.006205,            0.006205,            0.006205
                  25,            0.037597,            0.026647,           0.0037752,             0.95753,             0.98824,             0.98876,             0.59845,            0.034218,            0.020499,           0.0015309,             0.00604,             0.00604,             0.00604
                  26,            0.035956,            0.023449,           0.0040149,             0.98242,             0.99412,             0.99436,             0.64421,            0.030445,            0.020054,           0.0019797,            0.005875,            0.005875,            0.005875
                  27,            0.035212,            0.024268,           0.0037864,             0.97377,                   1,             0.99424,             0.65314,             0.03026,            0.019847,            0.001803,             0.00571,             0.00571,             0.00571
                  28,            0.034467,            0.025087,           0.0038939,             0.97567,             0.98932,             0.99296,             0.67088,            0.027839,            0.019549,           0.0015261,            0.005545,            0.005545,            0.005545
                  29,            0.034004,            0.024988,           0.0035244,             0.95261,             0.97698,             0.98253,             0.62771,            0.032018,            0.019744,           0.0014152,             0.00538,             0.00538,             0.00538
                  30,            0.032686,            0.023246,            0.003172,             0.98184,             0.99753,             0.99477,             0.66275,             0.02848,            0.019755,           0.0013789,            0.005215,            0.005215,            0.005215
                  31,            0.032106,            0.023315,           0.0036287,             0.98088,                   1,              0.9943,             0.64449,            0.028936,            0.019788,           0.0014624,             0.00505,             0.00505,             0.00505
                  32,             0.03262,             0.02484,           0.0033664,             0.97406,                   1,             0.99459,             0.65396,             0.02866,            0.019551,           0.0014373,            0.004885,            0.004885,            0.004885
                  33,            0.030954,            0.024092,           0.0032551,             0.98111,             0.99163,             0.99168,             0.66081,            0.028355,            0.019274,           0.0013813,             0.00472,             0.00472,             0.00472
                  34,            0.030727,            0.023714,           0.0030438,             0.96816,                   1,             0.99333,             0.67494,            0.027079,            0.019123,           0.0013162,            0.004555,            0.004555,            0.004555
                  35,            0.030196,            0.023579,           0.0030529,             0.98043,                   1,             0.99424,             0.69898,            0.025525,            0.019145,           0.0012026,             0.00439,             0.00439,             0.00439
                  36,            0.029869,            0.023911,           0.0032229,             0.98551,             0.99412,             0.99483,             0.67666,            0.026965,            0.019374,           0.0011136,            0.004225,            0.004225,            0.004225
                  37,            0.030354,            0.023457,           0.0027203,             0.98157,             0.99412,             0.99465,             0.67832,            0.027871,            0.019375,           0.0011021,             0.00406,             0.00406,             0.00406
                  38,            0.028783,            0.023357,           0.0030099,             0.98524,                   1,             0.99436,             0.69827,            0.026047,            0.019152,           0.0010571,            0.003895,            0.003895,            0.003895
                  39,            0.028536,             0.02404,           0.0028576,             0.98327,              0.9981,             0.99326,             0.69906,            0.027387,            0.019187,           0.0010986,             0.00373,             0.00373,             0.00373
                  40,            0.029068,              0.0223,           0.0022161,              0.9914,             0.99263,             0.99325,             0.71008,            0.025388,            0.019323,           0.0010981,            0.003565,            0.003565,            0.003565
                  41,            0.028481,            0.021173,           0.0026239,             0.98327,                   1,             0.99413,             0.72529,            0.025363,             0.01862,            0.001033,              0.0034,              0.0034,              0.0034
                  42,            0.027933,            0.022717,           0.0026864,             0.97533,                   1,             0.99448,             0.72974,            0.024359,            0.018573,           0.0010292,            0.003235,            0.003235,            0.003235
                  43,            0.027473,            0.021385,           0.0024264,             0.97227,                   1,             0.99435,             0.73135,            0.023896,            0.018386,           0.0010083,             0.00307,             0.00307,             0.00307
                  44,            0.026447,            0.021617,           0.0023769,             0.97587,                   1,             0.99399,             0.74025,            0.023673,            0.018398,           0.0010056,            0.002905,            0.002905,            0.002905
                  45,            0.026487,            0.022223,           0.0023778,             0.97108,             0.99722,             0.99369,             0.73753,            0.023095,            0.018087,          0.00095253,             0.00274,             0.00274,             0.00274
                  46,            0.025951,            0.022612,             0.00251,             0.98257,             0.99375,             0.99459,             0.72891,            0.023403,            0.018096,          0.00094333,            0.002575,            0.002575,            0.002575
                  47,            0.025886,            0.022252,           0.0021148,             0.98024,             0.99975,             0.99454,             0.73646,            0.023329,            0.018326,          0.00092309,             0.00241,             0.00241,             0.00241
                  48,            0.025377,            0.022064,           0.0028228,             0.98257,             0.99082,             0.99442,             0.75275,             0.02266,             0.01799,          0.00093288,            0.002245,            0.002245,            0.002245
                  49,            0.025335,            0.022407,            0.002417,             0.98792,             0.99347,             0.99471,             0.73762,            0.022883,            0.017859,          0.00087786,             0.00208,             0.00208,             0.00208
                  50,            0.023962,            0.021897,           0.0020698,             0.98866,               0.993,             0.99483,             0.74721,            0.022829,            0.017845,           0.0008595,            0.001915,            0.001915,            0.001915
                  51,            0.024835,            0.021795,           0.0025537,              0.9875,                   1,             0.99483,             0.74317,            0.022352,            0.017877,          0.00080123,             0.00175,             0.00175,             0.00175
                  52,            0.023939,            0.020934,           0.0019309,             0.98267,             0.99844,             0.99419,             0.74942,            0.022057,            0.017838,          0.00076976,            0.001585,            0.001585,            0.001585
                  53,            0.023996,            0.021489,           0.0020998,             0.98251,             0.99585,             0.99436,             0.75332,             0.02182,            0.017535,           0.0007447,             0.00142,             0.00142,             0.00142
                  54,            0.023973,            0.022579,           0.0022965,             0.98748,             0.98824,             0.99394,             0.75859,            0.021773,            0.017564,          0.00072975,            0.001255,            0.001255,            0.001255
                  55,             0.02295,            0.019876,           0.0020379,             0.97464,                   1,             0.99376,             0.75132,            0.021963,            0.017663,          0.00070732,             0.00109,             0.00109,             0.00109
                  56,            0.024134,            0.022283,           0.0019352,             0.97846,             0.99958,             0.99423,             0.75698,            0.021716,            0.017534,          0.00068624,            0.000925,            0.000925,            0.000925
                  57,            0.022909,            0.020474,           0.0019223,             0.98076,                   1,             0.99423,             0.75891,            0.021474,            0.017353,          0.00064249,             0.00076,             0.00076,             0.00076
                  58,            0.023166,            0.020549,           0.0017683,             0.98326,             0.99962,             0.99436,             0.76044,            0.021513,            0.017401,          0.00061638,            0.000595,            0.000595,            0.000595
                  59,            0.022644,            0.021165,           0.0018199,             0.98288,              0.9997,             0.99436,             0.76547,            0.021366,            0.017323,          0.00061243,             0.00043,             0.00043,             0.00043
